time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.616822,-0.928441871868,-0.936495271004,-0.295291301668,1.23600501984,0.17218934344,1.29046133781,-0.518485506305,94.9919204712,-0.0383495196971,0.365854417911,1.49486427779,1.24597589496,-0.305645671986,1.06266519081,1.28547590025,22.3662891388
1.000482,-0.929208862262,-0.93572828061,-0.294907806471,1.23562152464,0.171805848243,1.29046133781,-0.519252496699,94.9919204712,-0.0371990341062,0.365854417911,1.49486427779,1.24635939016,-0.306029167183,1.06113121002,1.28547590025,22.3662891388
2.001080,-0.929975852656,-0.936111775807,-0.295291301668,1.23562152464,0.17218934344,1.29084483301,-0.518485506305,94.9919204712,-0.0383495196971,0.365854417911,1.49486427779,1.24597589496,-0.30257771041,1.06189820041,1.28585939544,22.3662891388
3.001250,-0.929592357459,-0.936878766201,-0.295674796865,1.23562152464,0.172572838637,1.29007784261,-0.518102011108,94.9919204712,-0.0371990341062,0.365854417911,1.49524777299,1.24597589496,-0.303344700804,1.06113121002,1.28624289064,22.3662891388
4.001074,-0.928825367065,-0.936878766201,-0.294907806471,1.23523802944,0.179475752183,1.29237881379,-0.519252496699,16.6397418976,-0.0371990341062,0.365854417911,1.4944807826,1.24405841898,-0.30257771041,1.06151470522,1.28547590025,22.3662891388
5.001064,-0.929592357459,-0.936495271004,-0.294524311274,1.23600501984,0.177558276198,1.29237881379,-0.519252496699,16.6397418976,-0.0375825293032,0.365087427517,1.49486427779,1.24482540937,-0.30257771041,1.06113121002,1.28547590025,22.3662891388
6.001098,-0.928441871868,-0.936878766201,-0.294524311274,1.23562152464,0.177174781001,1.29429628978,-0.519252496699,16.6397418976,-0.0371990341062,0.366237913108,1.49563126819,1.24559239976,-0.303728196001,1.06189820041,1.28547590025,22.3662891388
7.001065,-0.929592357459,-0.936111775807,-0.294524311274,1.23562152464,0.175257305016,1.29391279458,-0.518869001502,16.6397418976,-0.0379660245002,0.366621408305,1.4944807826,1.24520890457,-0.304111691198,1.06151470522,1.28509240505,22.3662891388
8.001142,-0.927291386277,-0.936878766201,-0.294140816077,1.23562152464,0.174873809819,1.29237881379,-0.518869001502,16.6397418976,-0.0383495196971,0.365470922714,1.49486427779,1.24559239976,-0.305262176789,1.06113121002,1.28547590025,22.3662891388
9.000660,-0.928441871868,-0.936111775807,-0.29375732088,1.23600501984,0.173723324228,1.29237881379,-0.519635991896,16.6397418976,-0.0371990341062,0.365854417911,1.49563126819,1.24405841898,-0.304111691198,1.06074771482,1.28509240505,22.3662891388
10.001100,-0.929208862262,-0.93572828061,-0.29375732088,1.23562152464,0.173723324228,1.29276230899,-0.519252496699,16.6397418976,-0.039500005288,0.366237913108,1.49524777299,1.24559239976,-0.305645671986,1.06189820041,1.28547590025,22.3662891388
